instance,type,region,pricing,batch size,boot time in seconds,training time in seconds,total time in seconds
g4dn.xlarge,IaaS,us-east-1,0.526,1,474,469,943
g4dn.xlarge,IaaS,us-east-1,0.526,1,474,448,922
g4dn.xlarge,IaaS,us-east-1,0.526,1,474,444,918
p3.2xlarge,IaaS,us-east-1,3.06,1,449,283,732
p3.2xlarge,IaaS,us-east-1,3.06,1,449,249,698
p3.2xlarge,IaaS,us-east-1,3.06,1,449,246,695
p2.xlarge,IaaS,us-east-1,0.9,1,608,1117,1725
p2.xlarge,IaaS,us-east-1,0.9,1,398,1154,1552
p2.xlarge,IaaS,us-east-1,0.9,1,436,1117,1553
ml.g4dn.xlarge,SageMaker,us-east-1,0.736,2,248,265,513
ml.g4dn.xlarge,SageMaker,us-east-1,0.736,2,250,269,519
ml.g4dn.xlarge,SageMaker,us-east-1,0.736,2,248,267,515
ml.g4dn.xlarge,SageMaker,us-east-1,0.736,1,242,322,564
ml.g4dn.xlarge,SageMaker,us-east-1,0.736,1,226,327,553
ml.g4dn.xlarge,SageMaker,us-east-1,0.736,1,234,330,564
ml.p3.2xlarge,SageMaker,us-east-1,3.825,2,228,110,338
ml.p3.2xlarge,SageMaker,us-east-1,3.825,2,238,115,353
ml.p3.2xlarge,SageMaker,us-east-1,3.825,2,285,111,396
ml.p3.2xlarge,SageMaker,us-east-1,3.825,1,224,119,343
ml.p3.2xlarge,SageMaker,us-east-1,3.825,1,236,117,353
ml.p3.2xlarge,SageMaker,us-east-1,3.825,1,218,116,334
g3s.xlarge,IaaS,us-east-1,0.93,1,464.228,628.962,1093.228
g3s.xlarge,IaaS,us-east-1,0.93,1,365.710,578.595,944.710
g3s.xlarge,IaaS,us-east-1,0.93,1,369.039,574.485,943.039
g5.xlarge,IaaS,us-east-1,1.006,1,351.932,206.713,558.932
g5.xlarge,IaaS,us-east-1,1.006,1,351.507,208.851,560.507
g5.xlarge,IaaS,us-east-1,1.006,1,351.505,209.131,560.505
g4dn.12xlarge,IaaS,us-east-1,3.912,1,312,153,465
g4dn.12xlarge,IaaS,us-east-1,3.912,1,274,120,394
g4dn.12xlarge,IaaS,us-east-1,3.912,1,274,136,410
g3.8xlarge,IaaS,us-east-1,2.28,1,355,297,652
g3.8xlarge,IaaS,us-east-1,2.28,1,292,298,590
g3.8xlarge,IaaS,us-east-1,2.28,1,291,298,598
g3.16xlarge,IaaS,us-east-1,4.56,321,161,482
g3.16xlarge,IaaS,us-east-1,4.56,319,163,482
g3.16xlarge,IaaS,us-east-1,4.56,320,164,484


