exp run epoch epoch.duration
IAAS-g4dn.xlarge 1 1 00:02:34
IAAS-g4dn.xlarge 1 2 00:00:32
IAAS-g4dn.xlarge 1 3 00:00:34
IAAS-g4dn.xlarge 1 4 00:00:36
IAAS-g4dn.xlarge 1 5 00:00:36
IAAS-g4dn.xlarge 1 6 00:00:35
IAAS-g4dn.xlarge 1 7 00:00:36
IAAS-g4dn.xlarge 1 8 00:00:35
IAAS-g4dn.xlarge 1 9 00:00:36
IAAS-g4dn.xlarge 1 10 00:00:35
IAAS-g4dn.xlarge 2 1 00:02:33
IAAS-g4dn.xlarge 2 2 00:00:31
IAAS-g4dn.xlarge 2 3 00:00:32
IAAS-g4dn.xlarge 2 4 00:00:33
IAAS-g4dn.xlarge 2 5 00:00:33
IAAS-g4dn.xlarge 2 6 00:00:33
IAAS-g4dn.xlarge 2 7 00:00:34
IAAS-g4dn.xlarge 2 8 00:00:33
IAAS-g4dn.xlarge 2 9 00:00:33
IAAS-g4dn.xlarge 2 10 00:00:33
IAAS-g4dn.xlarge 3 1 00:02:33
IAAS-g4dn.xlarge 3 2 00:00:31
IAAS-g4dn.xlarge 3 3 00:00:32
IAAS-g4dn.xlarge 3 4 00:00:32
IAAS-g4dn.xlarge 3 5 00:00:33
IAAS-g4dn.xlarge 3 6 00:00:33
IAAS-g4dn.xlarge 3 7 00:00:33
IAAS-g4dn.xlarge 3 8 00:00:32
IAAS-g4dn.xlarge 3 9 00:00:32
IAAS-g4dn.xlarge 3 10 00:00:33
IAAS-p2.xlarge 1 1 00:04:33
IAAS-p2.xlarge 1 2 00:01:38
IAAS-p2.xlarge 1 3 00:01:38
IAAS-p2.xlarge 1 4 00:01:38
IAAS-p2.xlarge 1 5 00:01:38
IAAS-p2.xlarge 1 6 00:01:38
IAAS-p2.xlarge 1 7 00:01:38
IAAS-p2.xlarge 1 8 00:01:38
IAAS-p2.xlarge 1 9 00:01:38
IAAS-p2.xlarge 1 10 00:01:38
IAAS-p2.xlarge 2 1 00:03:59
IAAS-p2.xlarge 2 2 00:01:38
IAAS-p2.xlarge 2 3 00:01:38
IAAS-p2.xlarge 2 4 00:01:39
IAAS-p2.xlarge 2 5 00:01:39
IAAS-p2.xlarge 2 6 00:01:39
IAAS-p2.xlarge 2 7 00:02:06
IAAS-p2.xlarge 2 8 00:01:41
IAAS-p2.xlarge 2 9 00:01:38
IAAS-p2.xlarge 2 10 00:01:38
IAAS-p2.xlarge 3 1 00:04:35
IAAS-p2.xlarge 3 2 00:01:34
IAAS-p2.xlarge 3 3 00:01:34
IAAS-p2.xlarge 3 4 00:01:34
IAAS-p2.xlarge 3 5 00:01:33
IAAS-p2.xlarge 3 6 00:01:34
IAAS-p2.xlarge 3 7 00:01:33
IAAS-p2.xlarge 3 8 00:01:34
IAAS-p2.xlarge 3 9 00:01:33
IAAS-p2.xlarge 3 10 00:01:33
IAAS-p3.2xlarge 1 1 00:03:04
IAAS-p3.2xlarge 1 2 00:00:11
IAAS-p3.2xlarge 1 3 00:00:11
IAAS-p3.2xlarge 1 4 00:00:11
IAAS-p3.2xlarge 1 5 00:00:11
IAAS-p3.2xlarge 1 6 00:00:11
IAAS-p3.2xlarge 1 7 00:00:11
IAAS-p3.2xlarge 1 8 00:00:11
IAAS-p3.2xlarge 1 9 00:00:11
IAAS-p3.2xlarge 1 10 00:00:11
IAAS-p3.2xlarge 2 1 00:02:26
IAAS-p3.2xlarge 2 2 00:00:12
IAAS-p3.2xlarge 2 3 00:00:11
IAAS-p3.2xlarge 2 4 00:00:11
IAAS-p3.2xlarge 2 5 00:00:11
IAAS-p3.2xlarge 2 6 00:00:12
IAAS-p3.2xlarge 2 7 00:00:11
IAAS-p3.2xlarge 2 8 00:00:11
IAAS-p3.2xlarge 2 9 00:00:11
IAAS-p3.2xlarge 2 10 00:00:11
IAAS-p3.2xlarge 3 1 00:02:26
IAAS-p3.2xlarge 3 2 00:00:11
IAAS-p3.2xlarge 3 3 00:00:11
IAAS-p3.2xlarge 3 4 00:00:11
IAAS-p3.2xlarge 3 5 00:00:11
IAAS-p3.2xlarge 3 6 00:00:11
IAAS-p3.2xlarge 3 7 00:00:11
IAAS-p3.2xlarge 3 8 00:00:11
IAAS-p3.2xlarge 3 9 00:00:11
IAAS-p3.2xlarge 3 10 00:00:11
SAGEMAKER-ml-g4dn-xlarge 1 1 00:00:32
SAGEMAKER-ml-g4dn-xlarge 1 2 00:00:26
SAGEMAKER-ml-g4dn-xlarge 1 3 00:00:26
SAGEMAKER-ml-g4dn-xlarge 1 4 00:00:26
SAGEMAKER-ml-g4dn-xlarge 1 5 00:00:26
SAGEMAKER-ml-g4dn-xlarge 1 6 00:00:26
SAGEMAKER-ml-g4dn-xlarge 1 7 00:00:26
SAGEMAKER-ml-g4dn-xlarge 1 8 00:00:26
SAGEMAKER-ml-g4dn-xlarge 1 9 00:00:26
SAGEMAKER-ml-g4dn-xlarge 1 10 00:00:27
SAGEMAKER-ml-g4dn-xlarge 2 1 00:00:30
SAGEMAKER-ml-g4dn-xlarge 2 2 00:00:26
SAGEMAKER-ml-g4dn-xlarge 2 3 00:00:26
SAGEMAKER-ml-g4dn-xlarge 2 4 00:00:26
SAGEMAKER-ml-g4dn-xlarge 2 5 00:00:26
SAGEMAKER-ml-g4dn-xlarge 2 6 00:00:26
SAGEMAKER-ml-g4dn-xlarge 2 7 00:00:27
SAGEMAKER-ml-g4dn-xlarge 2 8 00:00:27
SAGEMAKER-ml-g4dn-xlarge 2 9 00:00:27
SAGEMAKER-ml-g4dn-xlarge 2 10 00:00:27
SAGEMAKER-ml-g4dn-xlarge 3 1 00:00:31
SAGEMAKER-ml-g4dn-xlarge 3 2 00:00:26
SAGEMAKER-ml-g4dn-xlarge 3 3 00:00:27
SAGEMAKER-ml-g4dn-xlarge 3 4 00:00:26
SAGEMAKER-ml-g4dn-xlarge 3 5 00:00:26
SAGEMAKER-ml-g4dn-xlarge 3 6 00:00:26
SAGEMAKER-ml-g4dn-xlarge 3 7 00:00:26
SAGEMAKER-ml-g4dn-xlarge 3 8 00:00:26
SAGEMAKER-ml-g4dn-xlarge 3 9 00:00:26
SAGEMAKER-ml-g4dn-xlarge 3 10 00:00:27
