exp batch.size run start.date start.time iter.date iter.time epoch epoch.total iter iter.total
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:11:39.198 1 10 1 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:11:41.943 1 10 2 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:11:44.553 1 10 3 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:11:47.166 1 10 4 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:11:49.845 1 10 5 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:11:52.464 1 10 6 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:11:55.089 1 10 7 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:11:57.702 1 10 8 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:12:00.409 1 10 9 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:12:03.198 1 10 10 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:12:05.821 1 10 11 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:12:08.545 1 10 12 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:12:11.255 1 10 13 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:12:13.952 1 10 14 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:12:16.680 1 10 15 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:12:19.388 1 10 16 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:12:23.101 2 10 1 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:12:25.726 2 10 2 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:12:28.356 2 10 3 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:12:30.982 2 10 4 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:12:33.758 2 10 5 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:12:36.472 2 10 6 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:12:39.113 2 10 7 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:12:41.732 2 10 8 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:12:44.457 2 10 9 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:12:47.155 2 10 10 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:12:49.886 2 10 11 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:12:52.620 2 10 12 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:12:55.320 2 10 13 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:12:58.030 2 10 14 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:13:00.749 2 10 15 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:13:03.457 2 10 16 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:13:06.651 3 10 1 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:13:09.390 3 10 2 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:13:12.390 3 10 3 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:13:15.047 3 10 4 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:13:17.697 3 10 5 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:13:20.496 3 10 6 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:13:23.384 3 10 7 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:13:26.028 3 10 8 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:13:28.661 3 10 9 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:13:31.398 3 10 10 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:13:34.140 3 10 11 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:13:36.849 3 10 12 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:13:39.569 3 10 13 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:13:42.301 3 10 14 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:13:45.026 3 10 15 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:13:47.756 3 10 16 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:13:51.059 4 10 1 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:13:53.703 4 10 2 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:13:56.428 4 10 3 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:13:59.152 4 10 4 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:14:02.051 4 10 5 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:14:04.712 4 10 6 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:14:07.417 4 10 7 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:14:10.060 4 10 8 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:14:12.870 4 10 9 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:14:15.517 4 10 10 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:14:18.247 4 10 11 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:14:20.971 4 10 12 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:14:23.700 4 10 13 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:14:26.425 4 10 14 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:14:29.157 4 10 15 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:14:31.890 4 10 16 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:14:35.071 5 10 1 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:14:38.151 5 10 2 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:14:40.809 5 10 3 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:14:43.465 5 10 4 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:14:46.116 5 10 5 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:14:49.017 5 10 6 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:14:51.659 5 10 7 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:14:54.306 5 10 8 16
IAAS-g3s.xlarge 1 1 2022-08-02 18:08:29.288 2022-08-02 18:14:56.946 5 10 9 16
