exp batch.size run duration
IAAS-g3s.xlarge 1 1 00:10:29
IAAS-g3s.xlarge 1 2 00:09:39
IAAS-g3s.xlarge 1 3 00:09:34
IAAS-g4dn.xlarge 1 1 00:07:49
IAAS-g4dn.xlarge 1 2 00:07:28
IAAS-g4dn.xlarge 1 3 00:07:24
IAAS-g5.xlarge 1 1 00:03:27
IAAS-g5.xlarge 1 2 00:03:29
IAAS-g5.xlarge 1 3 00:03:29
IAAS-p2.xlarge 1 1 00:19:14
IAAS-p2.xlarge 1 2 00:19:14
IAAS-p2.xlarge 1 3 00:18:37
IAAS-p3.2xlarge 1 1 00:04:43
IAAS-p3.2xlarge 1 2 00:04:09
IAAS-p3.2xlarge 1 3 00:04:06
SAGEMAKER-ml-g4dn-xlarge 2 1 00:04:25
SAGEMAKER-ml-g4dn-xlarge 2 2 00:04:29
SAGEMAKER-ml-g4dn-xlarge 2 3 00:04:27
SAGEMAKER-ml-g4dn-xlarge 1 1 00:05:22
SAGEMAKER-ml-g4dn-xlarge 1 2 00:05:27
SAGEMAKER-ml-g4dn-xlarge 1 3 00:05:30
SAGEMAKER-ml-p3-2xlarge 2 1 00:01:50
SAGEMAKER-ml-p3-2xlarge 2 2 00:01:55
SAGEMAKER-ml-p3-2xlarge 2 3 00:01:51
SAGEMAKER-ml-p3-2xlarge 1 1 00:01:59
SAGEMAKER-ml-p3-2xlarge 1 2 00:01:57
SAGEMAKER-ml-p3-2xlarge 1 3 00:01:56
